Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
1751,UNITED KINGDOM,2552,2552,0,0,0,,,0
1752,UNITED KINGDOM,2553,2553,0,0,0,,,0
1753,UNITED KINGDOM,2553,2553,0,0,0,,,0
1754,UNITED KINGDOM,2554,2554,0,0,0,,,0
1755,UNITED KINGDOM,2555,2555,0,0,0,,,0
1756,UNITED KINGDOM,2731,2731,0,0,0,,,0
1757,UNITED KINGDOM,2732,2732,0,0,0,,,0
1758,UNITED KINGDOM,2733,2733,0,0,0,,,0
1759,UNITED KINGDOM,2734,2734,0,0,0,,,0
1760,UNITED KINGDOM,2734,2734,0,0,0,,,0
1761,UNITED KINGDOM,2995,2995,0,0,0,,,0
1762,UNITED KINGDOM,2996,2996,0,0,0,,,0
1763,UNITED KINGDOM,2997,2997,0,0,0,,,0
1764,UNITED KINGDOM,2998,2998,0,0,0,,,0
1765,UNITED KINGDOM,2999,2999,0,0,0,,,0
1766,UNITED KINGDOM,3346,3346,0,0,0,,,0
1767,UNITED KINGDOM,3347,3347,0,0,0,,,0
1768,UNITED KINGDOM,3348,3348,0,0,0,,,0
1769,UNITED KINGDOM,3349,3349,0,0,0,,,0
1770,UNITED KINGDOM,3350,3350,0,0,0,,,0
1771,UNITED KINGDOM,3715,3715,0,0,0,,,0
1772,UNITED KINGDOM,3716,3716,0,0,0,,,0
1773,UNITED KINGDOM,3717,3717,0,0,0,,,0
1774,UNITED KINGDOM,3718,3718,0,0,0,,,0
1775,UNITED KINGDOM,3719,3719,0,0,0,,,0
1776,UNITED KINGDOM,4104,4104,0,0,0,,,0
1777,UNITED KINGDOM,4105,4105,0,0,0,,,0
1778,UNITED KINGDOM,4106,4106,0,0,0,,,0
1779,UNITED KINGDOM,4107,4107,0,0,0,,,0
1780,UNITED KINGDOM,4109,4109,0,0,0,,,0
1781,UNITED KINGDOM,4597,4597,0,0,0,,,0
1782,UNITED KINGDOM,4598,4598,0,0,0,,,0
1783,UNITED KINGDOM,4600,4600,0,0,0,,,0
1784,UNITED KINGDOM,4601,4601,0,0,0,,,0
1785,CANADA,1,1,0,0,0,,,0
1785,UNITED KINGDOM,4603,4603,0,0,0,,,0
1786,CANADA,1,1,0,0,0,,,0
1786,UNITED KINGDOM,5226,5226,0,0,0,,,0
1787,CANADA,1,1,0,0,0,,,0
1787,UNITED KINGDOM,5228,5228,0,0,0,,,0
1788,CANADA,1,1,0,0,0,,,0
1788,UNITED KINGDOM,5229,5229,0,0,0,,,0
1789,CANADA,1,1,0,0,0,,,0
1789,UNITED KINGDOM,5231,5231,0,0,0,,,0
1790,CANADA,1,1,0,0,0,,,0
1790,UNITED KINGDOM,5233,5233,0,0,0,,,0
1791,CANADA,1,1,0,0,0,,,0
1791,UNITED KINGDOM,5845,5845,0,0,0,,,0
1792,CANADA,1,1,0,0,0,,,0
1792,GERMANY,128,128,0,0,0,,,0
1792,UNITED KINGDOM,5847,5847,0,0,0,,,0
1793,CANADA,1,1,0,0,0,,,0
1793,GERMANY,131,131,0,0,0,,,0
1793,UNITED KINGDOM,5849,5849,0,0,0,,,0
1794,CANADA,1,1,0,0,0,,,0
1794,GERMANY,121,121,0,0,0,,,0
1794,UNITED KINGDOM,5850,5850,0,0,0,,,0
1795,CANADA,1,1,0,0,0,,,0
1795,GERMANY,122,122,0,0,0,,,0
1795,UNITED KINGDOM,5852,5852,0,0,0,,,0
1796,CANADA,1,1,0,0,0,,,0
1796,GERMANY,146,146,0,0,0,,,0
1796,UNITED KINGDOM,6117,6117,0,0,0,,,0
1797,CANADA,1,1,0,0,0,,,0
1797,GERMANY,150,150,0,0,0,,,0
1797,UNITED KINGDOM,6425,6425,0,0,0,,,0
1798,CANADA,1,1,0,0,0,,,0
1798,GERMANY,157,157,0,0,0,,,0
1798,UNITED KINGDOM,6691,6691,0,0,0,,,0
1799,CANADA,1,1,0,0,0,,,0
1799,GERMANY,171,171,0,0,0,,,0
1799,UNITED KINGDOM,7041,7041,0,0,0,,,0
1800,CANADA,1,1,0,0,0,,,0
1800,GERMANY,217,217,0,0,0,,,0
1800,POLAND,111,111,0,0,0,,,0
1800,UNITED KINGDOM,7269,7269,0,0,0,,,0
1800,UNITED STATES OF AMERICA,69,69,0,0,0,,,0
1801,CANADA,1,1,0,0,0,,,0
1801,GERMANY,146,146,0,0,0,,,0
1801,POLAND,121,121,0,0,0,,,0
1801,UNITED KINGDOM,7290,7290,0,0,0,,,0
1801,UNITED STATES OF AMERICA,73,73,0,0,0,,,0
1802,BELGIUM,1746,1746,0,0,0,,,0
1802,CANADA,1,1,0,0,0,,,0
1802,FRANCE (INCLUDING MONACO),611,611,0,0,0,,,0
1802,GERMANY,151,151,0,0,0,,,0
1802,POLAND,123,123,0,0,0,,,0
1802,UNITED KINGDOM,7328,7328,0,0,0,,,0
1802,UNITED STATES OF AMERICA,79,79,0,0,0,,,0
1803,CANADA,1,1,0,0,0,,,0
1803,GERMANY,146,146,0,0,0,,,0
1803,POLAND,126,126,0,0,0,,,0
1803,UNITED KINGDOM,8240,8240,0,0,0,,,0
1803,UNITED STATES OF AMERICA,81,81,0,0,0,,,0
1804,CANADA,1,1,0,0,0,,,0
1804,FRANCE (INCLUDING MONACO),594,594,0,0,0,,,0
1804,GERMANY,275,275,0,0,0,,,0
1804,POLAND,125,125,0,0,0,,,0
1804,UNITED KINGDOM,8278,8278,0,0,0,,,0
1804,UNITED STATES OF AMERICA,91,91,0,0,0,,,0
1805,CANADA,1,1,0,0,0,,,0
1805,GERMANY,284,284,0,0,0,,,0
1805,POLAND,156,156,0,0,0,,,0
1805,UNITED KINGDOM,8587,8587,0,0,0,,,0
1805,UNITED STATES OF AMERICA,93,93,0,0,0,,,0
1806,CANADA,1,1,0,0,0,,,0
1806,GERMANY,256,256,0,0,0,,,0
1806,POLAND,142,142,0,0,0,,,0
1806,UNITED KINGDOM,9075,9075,0,0,0,,,0
1806,UNITED STATES OF AMERICA,91,91,0,0,0,,,0
1807,AUSTRIA,46,46,0,0,0,,,0
1807,CANADA,1,1,0,0,0,,,0
1807,GERMANY,734,734,0,0,0,,,0
1807,POLAND,103,103,0,0,0,,,0
1807,UNITED KINGDOM,9077,9077,0,0,0,,,0
1807,UNITED STATES OF AMERICA,103,103,0,0,0,,,0
1808,CANADA,1,1,0,0,0,,,0
1808,GERMANY,245,245,0,0,0,,,0
1808,POLAND,137,137,0,0,0,,,0
1808,UNITED KINGDOM,9080,9080,0,0,0,,,0
1808,UNITED STATES OF AMERICA,107,107,0,0,0,,,0
1809,CANADA,1,1,0,0,0,,,0
1809,GERMANY,254,254,0,0,0,,,0
1809,POLAND,129,129,0,0,0,,,0
1809,UNITED KINGDOM,9083,9083,0,0,0,,,0
1809,UNITED STATES OF AMERICA,110,110,0,0,0,,,0
1810,CANADA,1,1,0,0,0,,,0
1810,FRANCE (INCLUDING MONACO),579,579,0,0,0,,,0
1810,GERMANY,267,267,0,0,0,,,0
1810,POLAND,155,155,0,0,0,,,0
1810,UNITED KINGDOM,9086,9086,0,0,0,,,0
1810,UNITED STATES OF AMERICA,114,114,0,0,0,,,0
1811,CANADA,1,1,0,0,0,,,0
1811,FRANCE (INCLUDING MONACO),560,560,0,0,0,,,0
1811,GERMANY,253,253,0,0,0,,,0
1811,POLAND,161,161,0,0,0,,,0
1811,UNITED KINGDOM,9706,9706,0,0,0,,,0
1811,UNITED STATES OF AMERICA,122,122,0,0,0,,,0
1812,CANADA,1,1,0,0,0,,,0
1812,FRANCE (INCLUDING MONACO),605,605,0,0,0,,,0
1812,GERMANY,249,249,0,0,0,,,0
1812,POLAND,124,124,0,0,0,,,0
1812,UNITED KINGDOM,10081,10081,0,0,0,,,0
1812,UNITED STATES OF AMERICA,132,132,0,0,0,,,0
1813,CANADA,1,1,0,0,0,,,0
1813,FRANCE (INCLUDING MONACO),559,559,0,0,0,,,0
1813,GERMANY,243,243,0,0,0,,,0
1813,POLAND,104,104,0,0,0,,,0
1813,UNITED KINGDOM,10201,10201,0,0,0,,,0
1813,UNITED STATES OF AMERICA,142,142,0,0,0,,,0
