New code,Area code,Local Authority,Year,Value
E09000002,00AB,Barking and Dagenham,1993-01-01,72.5
E09000002,00AB,Barking and Dagenham,1994-01-01,73
E09000002,00AB,Barking and Dagenham,1995-01-01,73.2
E09000002,00AB,Barking and Dagenham,1996-01-01,73.2
E09000002,00AB,Barking and Dagenham,1997-01-01,73
E09000002,00AB,Barking and Dagenham,1998-01-01,73.2
E09000002,00AB,Barking and Dagenham,1999-01-01,73.4
E09000002,00AB,Barking and Dagenham,2000-01-01,73.9
E09000002,00AB,Barking and Dagenham,2001-01-01,74.2
E09000002,00AB,Barking and Dagenham,2002-01-01,74.7
E09000002,00AB,Barking and Dagenham,2003-01-01,74.5175977481058
E09000002,00AB,Barking and Dagenham,2004-01-01,74.8077031079484
E09000002,00AB,Barking and Dagenham,2005-01-01,75.1666473146568
E09000002,00AB,Barking and Dagenham,2006-01-01,75.7297643492821
E09000002,00AB,Barking and Dagenham,2007-01-01,75.9871510404334
E09000002,00AB,Barking and Dagenham,2008-01-01,76.0034622397525
E09000002,00AB,Barking and Dagenham,2009-01-01,76.0543567618048
E09000002,00AB,Barking and Dagenham,2010-01-01,76.4395997513209
E09000002,00AB,Barking and Dagenham,2011-01-01,77.0866138225853
E09000002,00AB,Barking and Dagenham,2012-01-01,77.4929448184726
E09000002,00AB,Barking and Dagenham,2013-01-01,77.5597031420392
E09000002,00AB,Barking and Dagenham,2014-01-01,77.4979570464076
E09000002,00AB,Barking and Dagenham,2015-01-01,77.4700788848709
E09000002,00AB,Barking and Dagenham,2016-01-01,77.5316734562868
E09000002,00AB,Barking and Dagenham,2017-01-01,77.8431006021538
E09000002,00AB,Barking and Dagenham,2018-01-01,77.9839387064837
E09000003,00AC,Barnet,1993-01-01,75.4
E09000003,00AC,Barnet,1994-01-01,75.7
E09000003,00AC,Barnet,1995-01-01,76
E09000003,00AC,Barnet,1996-01-01,76.2
E09000003,00AC,Barnet,1997-01-01,76.4
E09000003,00AC,Barnet,1998-01-01,76.5
E09000003,00AC,Barnet,1999-01-01,77.1
E09000003,00AC,Barnet,2000-01-01,77.2
E09000003,00AC,Barnet,2001-01-01,77.5
E09000003,00AC,Barnet,2002-01-01,77.6
E09000003,00AC,Barnet,2003-01-01,77.9785912593209
E09000003,00AC,Barnet,2004-01-01,78.2626228573298
E09000003,00AC,Barnet,2005-01-01,78.42712045682
E09000003,00AC,Barnet,2006-01-01,78.8500143005392
E09000003,00AC,Barnet,2007-01-01,79.3297010711702
E09000003,00AC,Barnet,2008-01-01,79.7931402377642
E09000003,00AC,Barnet,2009-01-01,79.9486078394334
E09000003,00AC,Barnet,2010-01-01,80.091142117777
E09000003,00AC,Barnet,2011-01-01,80.5834855251996
E09000003,00AC,Barnet,2012-01-01,81.212187582449
E09000003,00AC,Barnet,2013-01-01,81.6674105344647
E09000003,00AC,Barnet,2014-01-01,81.9661474641388
E09000003,00AC,Barnet,2015-01-01,81.8957095374568
E09000003,00AC,Barnet,2016-01-01,82.0257002927311
E09000003,00AC,Barnet,2017-01-01,82.1502283134834
E09000003,00AC,Barnet,2018-01-01,82.4493501846113
E09000004,00AD,Bexley,1993-01-01,75.4
E09000004,00AD,Bexley,1994-01-01,75.5
E09000004,00AD,Bexley,1995-01-01,75.6
E09000004,00AD,Bexley,1996-01-01,75.8
E09000004,00AD,Bexley,1997-01-01,75.9
E09000004,00AD,Bexley,1998-01-01,75.9
E09000004,00AD,Bexley,1999-01-01,76.1
E09000004,00AD,Bexley,2000-01-01,76.6
E09000004,00AD,Bexley,2001-01-01,77
E09000004,00AD,Bexley,2002-01-01,77
E09000004,00AD,Bexley,2003-01-01,77.0693863217823
E09000004,00AD,Bexley,2004-01-01,77.5685139455677
E09000004,00AD,Bexley,2005-01-01,78.1792559013982
E09000004,00AD,Bexley,2006-01-01,78.408480862151
E09000004,00AD,Bexley,2007-01-01,78.6028023792277
E09000004,00AD,Bexley,2008-01-01,78.9189784102741
E09000004,00AD,Bexley,2009-01-01,79.1927313404044
E09000004,00AD,Bexley,2010-01-01,79.6765898940661
E09000004,00AD,Bexley,2011-01-01,79.8391771522924
E09000004,00AD,Bexley,2012-01-01,80.1219373422051
E09000004,00AD,Bexley,2013-01-01,80.1212364230154
E09000004,00AD,Bexley,2014-01-01,80.2961149795608
E09000004,00AD,Bexley,2015-01-01,80.0771475870584
E09000004,00AD,Bexley,2016-01-01,80.0781174530053
E09000004,00AD,Bexley,2017-01-01,80.0155822826714
E09000004,00AD,Bexley,2018-01-01,80.0550774411854
E09000005,00AE,Brent,1993-01-01,73.4
E09000005,00AE,Brent,1994-01-01,73.9
E09000005,00AE,Brent,1995-01-01,73.9
E09000005,00AE,Brent,1996-01-01,74.2
E09000005,00AE,Brent,1997-01-01,74.3
E09000005,00AE,Brent,1998-01-01,74.4
E09000005,00AE,Brent,1999-01-01,74.9
E09000005,00AE,Brent,2000-01-01,75.4
E09000005,00AE,Brent,2001-01-01,76
E09000005,00AE,Brent,2002-01-01,75.9
E09000005,00AE,Brent,2003-01-01,76.0178520477603
E09000005,00AE,Brent,2004-01-01,76.4810773198225
E09000005,00AE,Brent,2005-01-01,77.1953676976374
E09000005,00AE,Brent,2006-01-01,77.8448653467386
E09000005,00AE,Brent,2007-01-01,78.1038432360877
E09000005,00AE,Brent,2008-01-01,78.3616190326232
E09000005,00AE,Brent,2009-01-01,78.6096720548802
E09000005,00AE,Brent,2010-01-01,79.0633553430666
E09000005,00AE,Brent,2011-01-01,79.5637956349285
E09000005,00AE,Brent,2012-01-01,79.6456235852627
E09000005,00AE,Brent,2013-01-01,79.8027902996373
E09000005,00AE,Brent,2014-01-01,79.9249275329133
E09000005,00AE,Brent,2015-01-01,79.9316740162348
E09000005,00AE,Brent,2016-01-01,80.1973210791443
E09000005,00AE,Brent,2017-01-01,80.3409205839219
E09000005,00AE,Brent,2018-01-01,80.8199741903914
E09000006,00AF,Bromley,1993-01-01,75.4
E09000006,00AF,Bromley,1994-01-01,75.6
E09000006,00AF,Bromley,1995-01-01,75.5
E09000006,00AF,Bromley,1996-01-01,75.8
E09000006,00AF,Bromley,1997-01-01,76.3
E09000006,00AF,Bromley,1998-01-01,76.7
E09000006,00AF,Bromley,1999-01-01,76.9
E09000006,00AF,Bromley,2000-01-01,77
E09000006,00AF,Bromley,2001-01-01,77.2
E09000006,00AF,Bromley,2002-01-01,77.5
E09000006,00AF,Bromley,2003-01-01,77.6707353704863
E09000006,00AF,Bromley,2004-01-01,78.1024518111892
E09000006,00AF,Bromley,2005-01-01,78.4928548907402
E09000006,00AF,Bromley,2006-01-01,79.0377244100497
E09000006,00AF,Bromley,2007-01-01,79.319347600019
E09000006,00AF,Bromley,2008-01-01,79.5287650770948
E09000006,00AF,Bromley,2009-01-01,79.6828645718937
E09000006,00AF,Bromley,2010-01-01,80.0115167479121
E09000006,00AF,Bromley,2011-01-01,80.4848937883452
E09000006,00AF,Bromley,2012-01-01,80.7979219480584
E09000006,00AF,Bromley,2013-01-01,81.0599922702492
E09000006,00AF,Bromley,2014-01-01,81.1970186449959
E09000006,00AF,Bromley,2015-01-01,81.2988156810468
E09000006,00AF,Bromley,2016-01-01,81.2809474288016
E09000006,00AF,Bromley,2017-01-01,81.3541899286053
E09000006,00AF,Bromley,2018-01-01,81.3493801541276
E09000007,00AG,Camden,1993-01-01,71.6
E09000007,00AG,Camden,1994-01-01,71.7
E09000007,00AG,Camden,1995-01-01,71.4
E09000007,00AG,Camden,1996-01-01,71.8
E09000007,00AG,Camden,1997-01-01,72.6
E09000007,00AG,Camden,1998-01-01,73.1
E09000007,00AG,Camden,1999-01-01,73.1
E09000007,00AG,Camden,2000-01-01,73.3
E09000007,00AG,Camden,2001-01-01,73.6
E09000007,00AG,Camden,2002-01-01,74.3
E09000007,00AG,Camden,2003-01-01,74.6585510188131
E09000007,00AG,Camden,2004-01-01,75.426174032766
E09000007,00AG,Camden,2005-01-01,75.6066908903775
E09000007,00AG,Camden,2006-01-01,76.3185931255366
E09000007,00AG,Camden,2007-01-01,76.8524634412853
E09000007,00AG,Camden,2008-01-01,77.6378245358997
E09000007,00AG,Camden,2009-01-01,78.2150038552701
E09000007,00AG,Camden,2010-01-01,78.7277043768894
E09000007,00AG,Camden,2011-01-01,79.5640449835585
E09000007,00AG,Camden,2012-01-01,80.1244132301277
