Entity,Year,Aviation and shipping,Aviation and shipping (per capita),Buildings,Buildings (per capita),Electricity and heat,Electricity and heat (per capita),Energy,Energy (per capita),Fugitive emissions,Fugitive emissions (per capita),Industry,Industry (per capita),Land-use change and forestry,Land-use change and forestry (per capita),Manufacturing and construction,Manufacturing and construction (per capita),Other fuel combustion,Other fuel combustion (per capita),Total excluding LUCF,Total excluding LUCF (per capita),Total including LUCF,Total including LUCF (per capita),Transport,Transport (per capita)
Afghanistan,1990,0.02,0.0016113034873199681,0.08,0.006445213949279873,0.27,0.021752597078819567,2.92,0.23525030914871534,0.33,0.026586507540779472,0.04,0.0032226069746399363,-2.39,-0.1925507667347362,0.57,0.045922149388619084,0.0,0.0,2.96,0.2384729161233553,0.58,0.04672780113227907,1.67,0.13454384119121734
Afghanistan,1991,0.02,0.0015038706623106551,0.07,0.005263547318087294,0.27,0.020302253941193844,2.69,0.20227060408078312,0.27,0.020302253941193844,0.04,0.0030077413246213103,-2.39,-0.1797125441461233,0.53,0.03985257255123236,0.0,0.0,2.74,0.20603028073655977,0.35,0.026317736590436465,1.55,0.11654997632907578
Afghanistan,1992,0.02,0.0013806869373139828,0.03,0.002071030405970974,0.16,0.011045495498511863,1.38,0.09526739867466479,0.02,0.0013806869373139828,0.05,0.0034517173432849564,-2.39,-0.16499208900902093,0.39,0.02692339527762266,0.0,0.0,1.43,0.09871911601794975,-0.96,-0.06627297299107117,0.77,0.05315644708658833
Afghanistan,1993,0.02,0.0012644941855712237,0.03,0.0018967412783568352,0.16,0.01011595348456979,1.31,0.08282436915491515,0.0,0.0,0.05,0.0031612354639280592,-2.39,-0.15110705517576123,0.38,0.024025389525853248,0.0,0.0,1.36,0.0859856046188432,-1.03,-0.06512145055691802,0.74,0.04678628486613527
Afghanistan,1994,0.02,0.0011712531377871562,0.02,0.0011712531377871562,0.16,0.00937002510229725,1.26,0.07378894768059083,0.0,0.0,0.05,0.0029281328444678905,-2.39,-0.13996474996556516,0.36,0.02108255648016881,0.0,0.0,1.3,0.07613145395616515,-1.08,-0.06324766944050643,0.71,0.04157948639144404
Afghanistan,1995,0.02,0.0011043218629998173,0.02,0.0011043218629998173,0.16,0.008834574903998539,1.2,0.06625931177998905,0.0,0.0,0.05,0.002760804657499544,-2.39,-0.1319664626284782,0.34,0.0187734716709969,0.0,0.0,1.25,0.0690201164374886,-1.14,-0.0629463461909896,0.68,0.0375469433419938
Afghanistan,1996,0.02,0.0010608141409070937,0.01,0.0005304070704535469,0.16,0.00848651312725675,1.14,0.060466406031704334,0.0,0.0,0.05,0.002652035352267734,-2.39,-0.12676728983839772,0.32,0.0169730262545135,0.0,0.0,1.18,0.06258803431351852,-1.21,-0.06417925552487917,0.64,0.033946052509027
Afghanistan,1997,0.02,0.001033211231873988,0.01,0.000516605615936994,0.16,0.008265689854991903,1.06,0.05476019528932136,0.0,0.0,0.05,0.00258302807968497,-2.39,-0.12346874220894155,0.3,0.015498168478109817,0.0,0.0,1.1,0.056826617753069346,-1.29,-0.06664212445587223,0.59,0.030479731340282645
Afghanistan,1998,0.02,0.0010132856953951738,0.01,0.0005066428476975869,0.16,0.00810628556316139,1.0,0.05066428476975869,0.0,0.0,0.05,0.0025332142384879345,-2.39,-0.12108764059972328,0.28,0.014185999735532435,0.0,0.0,1.05,0.05319749900824663,-1.34,-0.06789014159147665,0.55,0.027865356623367282
Afghanistan,1999,0.02,0.000991530003673123,0.01,0.0004957650018365615,0.16,0.007932240029384984,0.77,0.038173905141415235,0.0,0.0,0.05,0.0024788250091828073,-2.39,-0.11848783543893819,0.25,0.012394125045914037,0.0,0.0,0.82,0.04065273015059804,-1.57,-0.07783510528834015,0.35,0.01735177506427965
Afghanistan,2000,0.02,0.0009624658992316491,0.0,0.0,0.16,0.007699727193853193,0.75,0.036092471221186834,0.0,0.0,0.02,0.0009624658992316491,-2.39,-0.11501467495818206,0.23,0.011068357841163966,0.0,0.0,0.77,0.03705493712041849,-1.62,-0.07795973783776358,0.36,0.017324386186169684
Afghanistan,2001,0.02,0.0009256262972652556,0.0,0.0,0.18,0.0083306366753873,0.79,0.0365622387419776,0.0,0.0,0.02,0.0009256262972652556,0.12,0.005553757783591533,0.23,0.01064470241855044,0.0,0.0,0.81,0.037487865039242854,0.93,0.043041622822834386,0.38,0.017586899648039857
Afghanistan,2002,0.02,0.0008849254454736817,0.0,0.0,0.15,0.006636940841052612,1.07,0.04734351133284197,0.0,0.0,0.02,0.0008849254454736817,0.12,0.00530955267284209,0.56,0.024777912473263088,0.0,0.0,1.1,0.04867089950105249,1.22,0.05398045217389458,0.36,0.01592865801852627
Afghanistan,2003,0.03,0.0012668452946684265,0.0,0.0,0.26,0.010979325887126365,1.32,0.055741192965410774,0.0,0.0,0.03,0.0012668452946684265,0.12,0.005067381178673706,0.49,0.020691806479584303,0.0,0.0,1.35,0.057008038260079205,1.47,0.0620754194387529,0.57,0.024070060598700104
Afghanistan,2004,0.04,0.0016176852469006265,0.04,0.0016176852469006265,0.24,0.009706111481403757,1.1,0.04448634428976723,0.0,0.0,0.03,0.0012132639351754696,0.12,0.0048530557407018785,0.24,0.009706111481403757,0.0,0.0,1.13,0.045699608224942685,1.25,0.05055266396564457,0.57,0.023052014768333923
Afghanistan,2005,0.04,0.001559194386089429,0.07,0.002728590175656501,0.26,0.01013476350958129,1.61,0.06275757404009952,0.0,0.0,0.02,0.0007795971930447145,0.12,0.004677583158268286,0.35,0.013642950878282503,0.0,0.0,1.64,0.06392696982966659,1.76,0.06860455298793489,0.94,0.03664106807310158
Afghanistan,2006,0.04,0.0015132566197978304,0.1,0.0037831415494945764,0.28,0.010592796338584815,1.92,0.07263631775029586,0.0,0.0,0.02,0.0007566283098989152,0.12,0.004539769859393491,0.35,0.013240995423231016,0.0,0.0,1.94,0.07339294606019477,2.06,0.07793271591958827,1.19,0.04501938443898545
Afghanistan,2007,0.04,0.0014759852404427926,0.05,0.0018449815505534907,0.28,0.01033189668309955,2.35,0.08671413287601407,0.0,0.0,0.01,0.00036899631011069815,0.12,0.004427955721328378,0.74,0.027305726948191663,0.0,0.0,2.36,0.08708312918612476,2.49,0.09188008121756384,1.29,0.04760052400428006
Afghanistan,2008,0.03,0.0010821620342135628,0.07,0.0025250447464983134,0.24,0.008657296273708502,4.38,0.15799565699518014,0.0,0.0,0.01,0.0003607206780711876,0.12,0.004328648136854251,1.21,0.043647202046613695,0.0,0.0,4.39,0.15835637767325134,4.51,0.16268502581010558,2.86,0.10316611392835964
Afghanistan,2009,0.03,0.0010565312543427837,0.3,0.010565312543427836,0.12,0.004226125017371135,5.99,0.21095407378377581,0.0,0.0,0.01,0.0003521770847809279,0.12,0.004226125017371135,1.67,0.058813573158414956,0.0,0.0,6.0,0.21130625086855673,6.12,0.21553237588592786,3.9,0.13734906306456188
Afghanistan,2010,0.03,0.0010279073064713513,0.16,0.005482172301180542,0.14,0.004796900763532974,8.65,0.296379940032573,0.0,0.0,0.01,0.00034263576882378387,0.12,0.004111629225885405,2.39,0.08188994874888433,0.0,0.0,8.67,0.29706521157022053,8.79,0.30117684079610596,5.97,0.20455355398779893
Afghanistan,2011,0.03,0.0009961015573350578,0.11,0.003652372376895212,0.19,0.006308643196455366,12.25,0.4067414692451486,0.0,0.0,0.01,0.0003320338524450193,-0.25,-0.008300846311125482,4.16,0.13812608261712803,0.0,0.0,12.26,0.4070735030975936,12.02,0.39910469063891313,7.79,0.25865437105467004
Afghanistan,2012,0.03,0.0009627302104547495,0.08,0.0025672805612126652,0.15,0.004813651052273747,10.44,0.33503011323825277,0.0,0.0,0.01,0.00032091007015158315,-0.25,-0.00802275175378958,3.23,0.10365395265896137,0.0,0.0,10.45,0.3353510233084044,10.2,0.3273282715546148,6.98,0.22399522896580507
Afghanistan,2013,0.03,0.0009296677813589957,0.08,0.002479114083623989,0.22,0.006817563729965969,8.5,0.2634058713850488,0.0,0.0,0.02,0.0006197785209059972,-0.25,-0.007747231511324965,3.34,0.10350301299130153,0.0,0.0,8.51,0.2637157606455018,8.27,0.25627841839462984,4.85,0.15029629131970432
Afghanistan,2014,0.03,0.0008989894280041919,0.06,0.0017979788560083837,0.17,0.005094273425357088,7.77,0.23283826185308568,0.0,0.0,0.04,0.001198652570672256,-0.25,-0.007491578566701599,3.67,0.10997637335917947,0.0,0.0,7.81,0.23403691442375796,7.56,0.22654533585705636,3.87,0.11596963621254076
Afghanistan,2015,0.03,0.000871748302553499,0.02,0.000581165535035666,0.17,0.004939907047803161,7.96,0.23130388294419504,,,0.03,0.000871748302553499,-0.25,-0.007264569187945825,2.89,0.08397841981265375,0.0,0.0,7.99,0.23217563124674856,7.74,0.22491106205880274,4.88,0.1418043905487025
Afghanistan,2016,0.04,0.0011304854971711297,0.04,0.0011304854971711297,0.2,0.005652427485855648,7.35,0.20772671010519506,,,0.05,0.001413106871463912,0.15,0.004239320614391736,2.95,0.08337330541637082,0.0,0.0,7.39,0.20885719560236618,7.55,0.2133791375910507,4.16,0.11757049170579749
Afghanistan,2017,0.04,0.0011020464423860728,0.13,0.0035816509377547363,0.21,0.005785743822526882,7.33,0.20195001056724782,,,0.05,0.0013775580529825908,0.15,0.004132674158947773,3.44,0.09477599404520225,0.0,0.0,7.38,0.2033275686202304,7.53,0.2074602427791782,3.55,0.09780662176176395
Afghanistan,2018,0.04,0.0010760810269643845,0.14,0.0037662835943753463,0.22,0.005918445648304116,7.39,0.19880596973167003,,,0.05,0.0013451012837054808,0.15,0.004035303851116442,3.29,0.08850766446782064,0.0,0.0,7.44,0.20015107101537555,7.59,0.20418637486649197,3.73,0.10034455576442886
Albania,1990,0.0,0.0,0.31,0.09433761301493883,0.73,0.22214986290614624,5.67,1.7254653735313004,0.0,0.0,0.37,0.11259650585653988,0.19,0.05781982733173669,2.14,0.6512338446837712,1.79,0.5447236364410983,6.05,1.8411050281947736,6.24,1.8989248555265104,0.71,0.2160635652922792
Albania,1991,0.0,0.0,0.36,0.10974281466542006,0.54,0.16461422199813014,3.81,1.1614447885423624,0.0,0.0,0.3,0.09145234555451671,0.19,0.057919818851193926,1.41,0.42982602410622855,0.96,0.29264750577445353,4.11,1.2528971340968793,4.3,1.310816952948073,0.54,0.16461422199813014
Albania,1992,0.0,0.0,0.28,0.0862630153175388,0.4,0.1232328790250554,2.14,0.6592959027840465,0.0,0.0,0.1,0.03080821975626385,0.19,0.05853561753690132,0.76,0.23414247014760528,0.29,0.08934383729316515,2.24,0.6901041225403104,2.43,0.7486397400772116,0.41,0.1263137010006818
Albania,1993,0.0,0.0,0.17,0.0532048738168175,0.54,0.16900371682989088,1.98,0.6196802950429332,0.0,0.0,0.1,0.03129698459812794,0.19,0.05946427073644309,0.54,0.16900371682989088,0.23,0.07198306457569427,2.07,0.6478475811812483,2.26,0.7073118519176914,0.51,0.1596146214504525
Albania,1994,0.0,0.0,0.16,0.05084986006754132,0.61,0.1938650915075013,2.09,0.6642262971322586,0.05,0.015890581271106666,0.05,0.015890581271106666,0.19,0.06038420883020532,0.46,0.14619334769418132,0.17,0.054027976321762664,2.14,0.6801168784033653,2.33,0.7405010872335706,0.63,0.20022132401594397
Albania,1995,0.0,0.0,0.25,0.08031037067090963,0.41,0.1317090079002918,1.85,0.5942967429647312,0.0,0.0,0.1,0.03212414826836385,0.19,0.06103588170989132,0.49,0.15740832651498288,0.08,0.02569931861469108,1.95,0.626420891233095,2.14,0.6874567729429865,0.63,0.20238213409069225
Albania,1996,0.0,0.0,0.34,0.10972346781665468,0.33,0.10649630699851778,1.86,0.6002519121734639,0.0,0.0,0.1,0.032271608181369024,0.19,0.061316055544601136,0.46,0.1484493976342975,0.11,0.03549876899950592,1.97,0.6357506811729697,2.16,0.6970667367175708,0.62,0.20008397072448794
Albania,1997,0.0,0.0,0.33,0.10646030143750443,0.32,0.10323423169697397,1.43,0.4613279728958524,0.0,0.0,0.05,0.016130348702652186,0.19,0.0612953250700783,0.24,0.07742567377273048,0.04,0.012904278962121747,1.48,0.47745832159850465,1.67,0.5387536466685829,0.49,0.1580774172859914
Albania,1998,0.0,0.0,0.24,0.07715307717011513,0.33,0.10608548110890832,1.76,0.5657892325808443,0.0,0.0,0.04,0.01285884619501919,0.19,0.06107951942634116,0.4,0.1285884619501919,0.05,0.01607355774377399,1.8,0.5786480787758637,1.99,0.6397275982022047,0.74,0.23788865460785502
Albania,1999,0.11,0.03522592628174336,0.24,0.07685656643289461,0.29,0.09286835110641431,2.92,0.9350882249335511,0.0,0.0,0.05,0.016011784673519713,0.19,0.0608447817593749,0.49,0.15691548980049316,0.51,0.16332020366990105,2.97,0.9511000096070709,3.16,1.0119447913664457,1.4,0.44832997085855186
Albania,2000,0.12,0.03834789594681914,0.25,0.07989144988920654,0.38,0.12143500383159393,3.08,0.9842626626350245,0.0,0.0,0.09,0.028760921960114354,0.19,0.060717501915796966,0.47,0.15019592579170826,0.51,0.16297855777398132,3.17,1.0130235845951387,3.36,1.0737410865109358,1.47,0.46976172534853444
Albania,2001,0.13,0.041537514286508516,0.27,0.08627022197967155,0.35,0.11183176923290755,3.22,1.0288522769427495,0.0,0.0,0.0,0.0,-1.12,-0.3578616615453042,0.54,0.1725404439593431,0.52,0.16615005714603406,3.22,1.0288522769427495,2.11,0.6741858088040998,1.54,0.4920597846247932
Albania,2002,0.13,0.04158425786334325,0.62,0.1983249221174832,0.39,0.12475277359002976,3.75,1.1995458999041324,0.0,0.0,0.0,0.0,-1.12,-0.35826437543803424,0.43,0.13754792985567385,0.55,0.1759333986526061,3.75,1.1995458999041324,2.63,0.841281524466098,1.77,0.5661856647547505
Albania,2003,0.15,0.04810749909317364,0.45,0.14432249727952093,0.36,0.11545799782361674,3.82,1.225137643572822,0.0,0.0,0.29,0.0930078315801357,-1.12,-0.35920265989569655,0.5,0.1603583303105788,0.6,0.19242999637269456,4.11,1.3181454751529578,2.99,0.9589428152572613,1.92,0.6157759883926226
Albania,2004,0.15,0.04831084356208088,0.39,0.12560819326141032,0.28,0.09018024131588431,4.01,1.291509884559629,0.0,0.0,0.29,0.09340096422002303,-1.12,-0.36072096526353725,0.55,0.17713975972762994,0.49,0.15781542230279755,4.29,1.3816901258755132,3.18,1.024189883516115,2.3,0.7407662679519068
Albania,2005,0.18,0.05831262695144825,0.36,0.1166252539028965,0.3,0.0971877115857471,3.83,1.2407631179113712,0.0,0.0,0.25,0.08098975965478925,-1.12,-0.3628341232534559,0.45,0.14578156737862064,0.34,0.11014607313051339,4.07,1.318513287179969,2.95,0.9556791639265132,2.37,0.767782921527402
Albania,2006,0.14,0.04570651001086836,0.4,0.130590028602481,0.27,0.0881482693066747,3.79,1.2373405210085078,0.0,0.0,0.26,0.08488351859161265,-1.12,-0.3656520800869469,0.68,0.22200304862421774,0.53,0.17303178789828735,4.05,1.3222240396001201,2.94,0.9598367102282355,1.92,0.6268321372919088
Albania,2007,0.06,0.019775919061118464,0.27,0.0889916357750331,0.33,0.10876755483615157,3.78,1.2458829008504633,0.0,0.0,0.44,0.14502340644820208,-1.12,-0.36915048914087806,0.64,0.21094313665193032,0.44,0.14502340644820208,4.22,1.3909063072986654,3.1,1.0217558181577875,2.1,0.6921571671391464
Albania,2008,0.08,0.02664283908757601,0.33,0.10990171123625105,0.28,0.09324993680651605,3.71,1.2355616626863375,0.0,0.0,0.46,0.15319632475356207,-1.12,-0.3729997472260642,0.5,0.16651774429735008,0.32,0.10657135635030404,4.17,1.3887579874398994,3.05,1.0157582402138354,2.28,0.7593209139959163
Albania,2009,0.06,0.020181336031353723,0.36,0.12108801618812234,0.14,0.04708978407315869,3.77,1.268060613970059,0.0,0.0,0.55,0.18499558028740914,-1.12,-0.3767182725852695,0.78,0.2623573684075984,0.2,0.06727112010451242,4.32,1.4530561942574682,3.2,1.0763379216721987,2.3,0.7736178812018927
Albania,2010,0.05,0.01696048444570932,0.32,0.10854710045253965,0.1,0.03392096889141864,3.93,1.3330940774327524,0.0,0.0,0.65,0.22048629779422116,-1.12,-0.3799148515838888,1.04,0.3527780764707539,0.24,0.08141032533940473,4.58,1.553580375226974,3.46,1.1736655236430849,2.23,0.7564376062786357
Albania,2011,0.06,0.0204875980032787,0.31,0.10585258968360661,0.13,0.04438979567377052,4.14,1.4136442622262302,0.0,0.0,0.9,0.3073139700491805,-0.84,-0.2868263720459018,1.11,0.37902056306065596,0.25,0.0853649916803279,5.04,1.7209582322754107,4.2,1.434131860229509,2.35,0.8024309217950824
Albania,2012,0.06,0.020589610962732457,0.25,0.08579004567805192,0.1,0.03431601827122077,3.48,1.1941974358384828,0.0,0.0,1.1,0.3774762009834285,-0.84,-0.28825455347825446,0.64,0.21962251693581292,0.25,0.08579004567805192,4.58,1.5716736368219113,3.74,1.283419083343657,2.25,0.7721104111024674
Albania,2013,0.13,0.044769108488636224,0.32,0.11020088243356609,0.05,0.017218887880244702,3.65,1.2569788152578631,0.0,0.0,1.15,0.3960344212456281,-0.84,-0.289277316388111,0.58,0.1997390994108385,0.24,0.08265066182517457,4.79,1.6495694589274423,3.95,1.3602921425393315,2.46,0.8471692837080392
Albania,2014,0.09,0.031074053959058896,0.35,0.12084354317411793,0.12,0.04143207194541186,4.12,1.422501136792474,0.0,0.0,1.1,0.3797939928329421,-0.84,-0.290024503617883,0.92,0.3176458849148243,0.27,0.0932221618771767,5.22,1.802295129625416,4.37,1.5088179533454154,2.47,0.852810147543061
Albania,2015,0.07,0.02421706237346585,0.37,0.12800447254546235,0.08,0.0276766427125324,3.82,1.321559689523422,,,1.25,0.43244754238331873,-0.84,-0.2906047484815902,0.68,0.2352514630565254,0.25,0.08648950847666374,5.07,1.7540072319067408,4.23,1.4634024834251507,2.44,0.8441376027322381
Albania,2016,0.13,0.04503838136214773,0.39,0.1351151440864432,0.12,0.04157389048813637,3.67,1.2714681507621708,,,1.26,0.4365258501254319,-0.24,-0.08314778097627273,0.61,0.2113339433146932,0.26,0.09007676272429546,4.93,1.7079940008876024,4.7,1.6283107107853412,2.29,0.7933684101486024
Albania,2017,0.14,0.04854084486727373,0.45,0.156024144216237,0.23,0.07974567371052113,4.34,1.5047661908854855,,,1.26,0.4368676038054635,-0.24,-0.08321287691532639,1.07,0.3709907429141635,0.3,0.10401609614415798,5.6,1.941633794690949,5.37,1.8618881209804279,2.3,0.7974567371052111
Albania,2018,0.12,0.04162713534195824,0.46,0.1595706854775066,0.14,0.048564991232284624,4.3,1.4916390164201705,,,1.26,0.4370849210905616,-0.24,-0.08325427068391648,1.22,0.4232092093099088,0.29,0.10059891040973241,5.56,1.928723937510732,5.32,1.8454696668268156,2.2,0.7631641479359013
Algeria,1990,2.47,0.09588929204663932,6.59,0.25583418404346275,23.1,0.8967783993025782,64.91,2.519908480464517,13.73,0.5330202347369869,2.99,0.11607651142487918,0.57,0.022128298164609067,5.68,0.22050655013154302,0.0,0.0,67.89,2.6355967761321226,68.47,2.6581132900540054,15.81,0.6137691122499463
Algeria,1991,2.16,0.0818167314306701,7.54,0.28560099767928354,24.08,0.9121050429863592,63.97,2.4230631063055394,9.25,0.3503725767285641,2.97,0.11249800571717139,0.57,0.02159052634976016,6.23,0.23598066519123828,0.0,0.0,66.94,2.535561112022711,67.51,2.557151638372471,16.88,0.6393826048841256
Algeria,1992,2.15,0.07954616507938153,7.78,0.2878461229384131,24.06,0.8901770845627531,63.16,2.336807342518017,8.21,0.3037553559542895,3.0,0.11099464894797423,0.57,0.0210889833001151,6.31,0.23345874495390576,0.0,0.0,66.16,2.447801991465991,66.73,2.468890974766107,16.8,0.6215700341086556
Algeria,1993,2.03,0.07345619768937198,8.23,0.2978051758539563,25.28,0.9147648658065634,70.49,2.550703140455089,13.79,0.49899554982090616,2.99,0.10819410398582376,0.57,0.020625631863518238,6.23,0.2254345377363485,0.0,0.0,73.47,2.6585353912503247,74.05,2.6795228763044308,16.96,0.6137030112373146
Algeria,1994,2.09,0.07407728500866792,8.17,0.2895748413975201,24.96,0.8846741788594983,68.73,2.436043922797008,14.11,0.5001102830011026,2.82,0.09995116924614525,0.57,0.020202895911454886,5.97,0.21159875191471172,0.0,0.0,71.55,2.5359950920431533,72.12,2.5561979879546084,15.52,0.5500858676241752
Algeria,1995,2.15,0.07476235654842438,8.09,0.2813150997566294,25.87,0.8995824018175529,69.89,2.4302981856601766,14.55,0.5059499012928255,3.17,0.11023100942256059,0.57,0.01982071778260553,6.26,0.21768016371773796,0.0,0.0,73.05,2.5401814631918143,73.63,2.5603499128653424,15.11,0.525422887184508
Algeria,1996,2.01,0.06867940607006358,8.31,0.2839432161404122,25.74,0.8795064240017098,68.41,2.3374916264940544,13.51,0.461621281595303,3.01,0.10284826481138874,0.57,0.019476249482555344,5.88,0.20091288939899196,0.0,0.0,71.41,2.43999820271803,71.99,2.4598161407879986,14.96,0.5111661267702245
